,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
94,0.003249526023864746,1.4424324035644531e-05,0.0,0.0,mae,60,None,2,19,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'None', 'min_samples_leaf': 2, 'min_samples_split': 19}",,,,,67
95,0.003224968910217285,1.0728836059570312e-06,0.0,0.0,mae,60,None,2,18,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'None', 'min_samples_leaf': 2, 'min_samples_split': 18}",,,,,66
96,0.0032488107681274414,7.510185241699219e-06,0.0,0.0,mae,60,None,15,2,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'None', 'min_samples_leaf': 15, 'min_samples_split': 2}",,,,,65
97,0.0032646656036376953,8.344650268554688e-06,0.0,0.0,mae,60,None,15,19,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'None', 'min_samples_leaf': 15, 'min_samples_split': 19}",,,,,64
98,0.0035979747772216797,0.0002486705780029297,0.0,0.0,mae,60,None,15,18,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'None', 'min_samples_leaf': 15, 'min_samples_split': 18}",,,,,70
99,7.664836406707764,0.2810497283935547,0.003522157669067383,1.1444091796875e-05,mae,60,auto,1,2,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9854643484911946,0.9866593570419334,0.986061852766564,0.0005975042753694204,19
100,7.501762747764587,0.22848784923553467,0.0026859045028686523,1.2516975402832031e-05,mae,60,auto,1,19,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 19}",0.9828546433912473,0.9857381039184459,0.9842963736548466,0.0014417302635992835,23
101,7.867855429649353,0.6164482831954956,0.0029381513595581055,0.0002943277359008789,mae,60,auto,1,18,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 18}",0.9840123556653277,0.9861543527026432,0.9850833541839854,0.0010709985186577176,21
102,7.587941884994507,0.2702939510345459,0.003148317337036133,0.0001277923583984375,mae,60,auto,2,2,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9882736025240543,0.988385396153928,0.9883294993389911,5.5896814936839956e-05,13
103,7.459491610527039,0.24630272388458252,0.0027201175689697266,0.00013566017150878906,mae,60,auto,2,19,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 19}",0.985466430469076,0.9874444944640023,0.9864554624665391,0.0009890319974631412,17
104,7.483488917350769,0.2633100748062134,0.002596735954284668,2.4199485778808594e-05,mae,60,auto,2,18,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 18}",0.9853199830371773,0.9880181167426253,0.9866690498899013,0.0013490668527240124,15
105,7.255136728286743,0.27901148796081543,0.002474546432495117,2.5987625122070312e-05,mae,60,auto,15,2,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 15, 'min_samples_split': 2}",0.9773835621531953,0.9778327236512032,0.9776081429021992,0.0002245807490039442,31
106,6.346235513687134,0.6857044696807861,0.002215147018432617,0.000324249267578125,mae,60,auto,15,19,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 15, 'min_samples_split': 19}",0.9773835621531953,0.9778327236512032,0.9776081429021992,0.0002245807490039442,31
107,6.160709261894226,0.6718178987503052,0.0018564462661743164,1.0371208190917969e-05,mae,60,auto,15,18,"{'criterion': 'mae', 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 15, 'min_samples_split': 18}",0.9773835621531953,0.9778327236512032,0.9776081429021992,0.0002245807490039442,31
